SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CHNG,%CHNG,"VOLUME
(shares)","VALUE
(₹ Lakhs)",52W H,52W L,TODAY,Column-13,Column-14,Column-15,Column-16,Column-17,Column-18,Column-19,Column-20,Column-21,Column-22,Column-23,Column-24,Sequence No.
RELIANCE,"2,353.00","2,364.30","2,320.35","2,378.30","2,343.10",-35.20,-1.48,"32,76,101","76,655.19","2,751.35","1,876.70",,03-Mar-2021,03-Mar-2021,01-Feb-2022,01-Feb-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,8.00,,-0.02,32
HDFC,"2,250.30","2,263.00","2,203.00","2,273.00","2,237.25",-35.75,-1.57,"28,19,953","62,995.21","3,021.10","2,203.00",,03-Mar-2021,03-Mar-2021,01-Feb-2022,01-Feb-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,-14.38,,-11.40,33
BHARTIARTL,665.00,667.95,653.40,672.05,660.70,-11.35,-1.69,"37,04,850","24,421.26",781.80,494.60,,03-Mar-2021,03-Mar-2021,01-Feb-2022,01-Feb-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,23.02,,-7.05,34
HINDALCO,607.80,618.00,589.85,606.30,595.60,-10.70,-1.76,"1,54,52,122","93,720.21",618.00,305.40,,03-Mar-2021,03-Mar-2021,01-Feb-2022,01-Feb-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,68.72,,18.65,35
AXISBANK,723.00,727.90,710.05,737.65,724.55,-13.10,-1.78,"83,28,527","59,761.35",866.90,626.65,,03-Mar-2021,03-Mar-2021,01-Feb-2022,01-Feb-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,-2.16,,-5.66,36
EICHERMOT,"2,400.00","2,400.90","2,300.00","2,409.50","2,363.50",-46.00,-1.91,"5,95,079","13,891.52","2,994.00","2,300.00",,03-Mar-2021,03-Mar-2021,01-Feb-2022,01-Feb-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,-7.29,,-8.11,37
TATACONSUM,688.40,688.40,657.50,687.05,673.30,-13.75,-2.00,"19,34,065","12,953.40",889.00,577.05,,03-Mar-2021,03-Mar-2021,01-Feb-2022,01-Feb-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,7.87,,-6.66,38
M&M,750.00,756.00,732.30,762.05,746.25,-15.80,-2.07,"30,86,803","22,839.26",979.00,724.65,,03-Mar-2021,03-Mar-2021,01-Feb-2022,01-Feb-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,-10.56,,-12.38,39
BAJFINANCE,"6,688.40","6,688.40","6,500.00","6,748.35","6,607.20",-141.15,-2.09,"13,11,046","86,110.42","8,050.00","4,362.00",,03-Mar-2021,03-Mar-2021,01-Feb-2022,01-Feb-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,21.75,,-3.80,40
SBILIFE,"1,071.50","1,077.40","1,049.75","1,081.30","1,058.00",-23.30,-2.15,"9,91,051","10,531.21","1,293.25",861.00,,03-Mar-2021,03-Mar-2021,01-Feb-2022,01-Feb-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,19.29,,-11.00,41
LT,"1,740.00","1,754.05","1,703.00","1,752.30","1,712.60",-39.70,-2.27,"26,54,998","45,641.81","2,078.55","1,306.00",,03-Mar-2021,03-Mar-2021,01-Feb-2022,01-Feb-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,17.06,,-11.97,42
COALINDIA,188.95,191.00,182.80,188.95,184.30,-4.65,-2.46,"2,49,61,806","46,448.93",203.80,123.40,,03-Mar-2021,03-Mar-2021,01-Feb-2022,01-Feb-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,21.98,,15.88,43
TATAMOTORS,431.85,431.85,421.00,437.10,425.90,-11.20,-2.56,"2,28,75,014","97,292.01",536.70,268.45,,03-Mar-2021,03-Mar-2021,01-Feb-2022,01-Feb-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,25.42,,-13.33,44
HEROMOTOCO,"2,400.00","2,403.60","2,301.10","2,417.40","2,354.35",-63.05,-2.61,"8,32,194","19,388.21","3,510.90","2,301.10",,03-Mar-2021,03-Mar-2021,01-Feb-2022,01-Feb-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,-29.41,,-11.35,45
ONGC,170.10,171.00,163.85,170.30,165.55,-4.75,-2.79,"2,25,05,942","37,544.41",176.35,97.45,,03-Mar-2021,03-Mar-2021,01-Feb-2022,01-Feb-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,49.39,,-0.38,46
TITAN,"2,565.00","2,565.00","2,453.30","2,574.25","2,492.25",-82.00,-3.19,"19,47,020","48,836.52","2,687.25","1,400.05",,03-Mar-2021,03-Mar-2021,01-Feb-2022,01-Feb-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,74.57,,5.86,47
JSWSTEEL,654.70,660.40,628.70,654.70,633.35,-21.35,-3.26,"56,63,161","36,652.54",776.50,396.80,,03-Mar-2021,03-Mar-2021,01-Feb-2022,01-Feb-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,52.91,,0.06,48
HINDUNILVR,"2,075.00","2,077.95","1,975.25","2,091.00","2,017.50",-73.50,-3.52,"45,84,716","91,919.89","2,859.30","1,975.25",,03-Mar-2021,03-Mar-2021,01-Feb-2022,01-Feb-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,-4.67,,-9.31,49
ASIANPAINT,"2,863.80","2,863.80","2,662.05","2,871.90","2,766.75",-105.15,-3.66,"55,50,346","1,51,002.16","3,590.00","2,343.05",,03-Mar-2021,03-Mar-2021,01-Feb-2022,01-Feb-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,19.56,,-10.15,50
MARUTI,"7,482.00","7,519.20","7,130.00","7,595.55","7,300.30",-295.25,-3.89,"17,79,254","1,28,956.95","9,050.00","6,400.00",,03-Mar-2021,03-Mar-2021,01-Feb-2022,01-Feb-2022,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,6.61,,-11.26,51
